Suburb,Year,Offences per suburb
aberfoyle park,2015,151
aberfoyle park,2016,140
adelaide,2015,2710
adelaide,2016,3043
adelaide airport,2015,94
adelaide airport,2016,82
alawoona,2015,2
alawoona,2016,2
albert park,2015,54
albert park,2016,65
alberton,2015,86
alberton,2016,80
aldgate,2015,53
aldgate,2016,36
aldinga,2015,31
aldinga,2016,47
aldinga beach,2015,269
aldinga beach,2016,227
alford,2015,5
alford,2016,6
allenby gardens,2015,37
allenby gardens,2016,56
allendale east,2015,3
allendale east,2016,6
altona,2015,1
altona,2016,1
amata,2015,67
amata,2016,50
american river,2015,6
american river,2016,9
anangu pitjantjatjara yankunytjatjara,2015,1
andamooka,2015,9
andamooka,2016,7
andrews farm,2015,258
andrews farm,2016,218
angas valley,2015,2
angaston,2015,27
angaston,2016,32
angle park,2015,63
angle park,2016,67
angle vale,2015,78
angle vale,2016,53
annadale,2015,2
annadale,2016,1
ardrossan,2015,15
ardrossan,2016,21
arkaroola,2016,1
armagh,2015,1
armagh,2016,1
arno bay,2015,2
arno bay,2016,5
arthurton,2015,6
arthurton,2016,2
ascot park,2015,109
ascot park,2016,140
ashbourne,2015,5
ashbourne,2016,1
ashford,2015,15
ashford,2016,22
ashton,2015,2
ashton,2016,3
ashville,2015,1
athelstone,2015,103
athelstone,2016,81
athol park,2015,102
athol park,2016,81
auburn,2015,12
auburn,2016,10
auldana,2015,1
auldana,2016,3
australia plains,2016,1
avenue range,2016,1
avoca dell,2015,2
avon,2015,2
back valley,2015,3
back valley,2016,5
bagot well,2015,1
balaklava,2015,27
balaklava,2016,43
balgowan,2015,5
balgowan,2016,5
balhannah,2015,22
balhannah,2016,19
bangham,2016,1
bangor,2015,1
bangor,2016,1
banksia park,2015,69
banksia park,2016,44
barabba,2016,1
barmera,2015,76
barmera,2016,60
barna,2016,2
baroota,2015,2
baroota,2016,2
barossa goldfields,2016,1
basket range,2015,1
basket range,2016,3
baudin beach,2016,6
beachport,2015,9
beachport,2016,13
beaufort,2015,1
beaufort,2016,6
beaumont,2015,17
beaumont,2016,30
bedford park,2015,79
bedford park,2016,104
beetaloo valley,2015,1
belair,2015,63
belair,2016,38
belalie north,2015,1
bellevue heights,2015,22
