Suburb,Year,Total dogs,Offences per suburb
aberfoyle park,2016,2069,140
adelaide,2015,363,2710
alberton,2016,318,80
aldinga beach,2016,2128,227
aldinga,2016,89,47
andrews farm,2015,913,258
angle park,2016,126,67
angle vale,2015,523,78
auburn,2016,1,10
auldana,2015,59,1
beaumont,2015,377,17
bedford park,2015,105,79
belair,2015,756,63
bellevue heights,2015,361,22
beulah park,2015,224,29
bibaringa,2015,53,3
birkenhead,2016,371,57
blackwood,2015,686,101
blair athol,2016,462,229
blakeview,2015,855,186
blewitt springs,2016,79,6
broadview,2016,344,163
brown hill creek,2015,13,2
buckland park,2015,41,3
burnside,2015,348,25
chandlers hill,2016,180,10
christie downs,2016,988,303
christies beach,2016,925,347
clapham,2015,235,9
clarence gardens,2015,318,36
clarendon,2016,164,4
clearview,2016,641,161
collinswood,2016,48,51
colonel light gardens,2015,559,24
coromandel east,2016,97,1
coromandel valley,2015,241,31
coromandel valley,2016,584,21
crafers west,2015,20,5
craigburn farm,2015,376,22
craigmore,2015,1800,182
croydon park,2016,367,138
cumberland park,2015,387,56
darlington,2016,83,55
davoren park,2015,761,555
daw park,2015,322,53
dernancourt,2016,27,37
devon park,2016,135,43
dry creek,2016,30,89
dudley park,2016,89,26
dulwich,2015,236,22
eastwood,2015,84,25
eden hills,2015,517,71
elizabeth downs,2015,678,264
elizabeth east,2015,569,184
elizabeth grove,2015,307,193
elizabeth north,2015,483,217
elizabeth park,2015,440,247
elizabeth south,2015,370,327
elizabeth vale,2015,434,252
elizabeth,2015,130,673
enfield,2016,565,200
erindale,2015,174,10
ethelton,2016,263,38
evanston park,2015,14,56
exeter,2016,234,47
ferryden park,2016,417,78
fitzroy,2016,32,9
flagstaff hill,2016,1685,68
frewville,2015,97,20
gepps cross,2016,67,72
gilles plains,2016,217,184
gillman,2016,23,32
glanville,2016,125,32
glen osmond,2015,265,34
glenalta,2015,360,12
glenside,2015,160,85
glenunga,2015,229,45
gould creek,2015,25,6
greenacres,2016,275,119
hackham west,2016,733,236
hackham,2016,841,120
hampstead gardens,2016,138,45
happy valley,2016,2135,153
hawthorn,2015,342,62
hawthorndene,2015,631,41
hazelwood park,2015,269,11
hillbank,2015,741,159
hillcrest,2016,410,104
hillier,2015,7,4
holden hill,2016,78,120
humbug scrub,2015,42,3
huntfield heights,2016,829,137
ironbank,2016,30,4
kangarilla,2016,268,7
kensington gardens,2015,226,29
kensington park,2015,291,25
kilburn,2016,497,381
kingswood,2015,325,56
klemzig,2016,583,152
kuitpo,2016,21,1
largs bay,2016,850,149
largs north,2016,716,125
leabrook,2015,174,7
linden park,2015,183,28
lonsdale,2016,35,64
lower mitcham,2015,350,13
lynton,2015,42,2
macdonald park,2015,162,12
magill,2015,263,120
manningham,2016,172,18
mansfield park,2016,318,160
maslin beach,2016,283,23
mclaren flat,2016,354,13
mclaren vale,2016,754,65
medindie gardens,2016,17,10
melrose park,2015,335,76
mitcham,2015,276,19
moana,2016,564,55
morphett vale,2016,4653,852
mount osmond,2015,88,4
munno para downs,2015,27,5
munno para west,2015,516,199
munno para,2015,354,215
nailsworth,2016,88,59
netherby,2015,215,20
noarlunga centre,2016,10,380
noarlunga downs,2016,785,127
north adelaide,2015,454,242
north haven,2016,1144,96
northfield,2016,433,171
northgate,2016,391,141
o'halloran hill,2016,476,38
o'sullivan beach,2016,445,58
oakden,2016,480,69
old noarlunga,2016,331,49
old reynella,2016,649,93
one tree hill,2015,194,24
onkaparinga hills,2016,651,24
osborne,2016,416,79
ottoway,2016,402,99
ovingham,2016,7,43
panorama,2015,296,35
pasadena,2015,306,92
penfield gardens,2015,37,8
penfield,2015,40,29
peterhead,2016,240,34
port adelaide,2016,189,377
port noarlunga south,2016,601,40
port noarlunga,2016,627,97
port willunga,2016,415,39
prospect,2016,550,433
queenstown,2016,302,74
reynella east,2016,388,23
reynella,2016,944,223
rose park,2015,177,36
rosewater,2016,593,178
rosslyn park,2015,163,10
sampson flat,2015,22,5
seaford heights,2016,9,6
seaford meadows,2016,561,151
seaford rise,2016,1188,72
seaford,2016,796,209
sefton park,2016,124,78
sellicks beach,2016,684,42
sellicks hill,2016,80,4
semaphore south,2016,183,30
semaphore,2016,511,153
skye,2015,36,4
smithfield plains,2015,313,129
smithfield,2015,304,449
springfield,2015,71,5
st georges,2015,173,10
st marys,2015,311,107
stonyfell,2015,157,4
taperoo,2016,678,175
tatachilla,2016,74,1
thorngate,2016,12,1
toorak gardens,2015,326,22
torrens park,2015,340,39
tusmore,2015,176,15
uleybury,2015,59,8
upper sturt,2015,48,7
urrbrae,2015,133,13
valley view,2016,262,103
virginia,2015,186,41
walkley heights,2016,55,50
waterfall gully,2015,28,3
waterloo corner,2015,90,35
wattle park,2015,202,8
westbourne park,2015,324,27
whites valley,2016,78,4
willunga south,2016,138,2
willunga,2016,527,18
windsor gardens,2016,617,195
wingfield,2016,84,95
woodcroft,2016,2118,121
woodville gardens,2016,185,110
yattalunga,2015,60,2
